Ticker,BuyHoldSell,SentimentScore
MSFT,Buy,1.2892156862745099
AAPL,Buy,0.9515151515151515
NVDA,Buy,1.075
GOOGL,Buy,1.113861386138614
GOOG,Buy,1.25
AMZN,Buy,1.271111111111111
META,Buy,1.172972972972973
AVGO,Buy,1.0952380952380953
TSLA,Hold,0.3132530120481928
ASML,Buy,1.1025641025641026
COST,Buy,0.8832116788321168
NFLX,Buy,0.7966101694915254
AMD,Buy,0.936046511627907
ADBE,Buy,1.0620689655172413
AZN,Buy,1.2894736842105263
QCOM,Buy,0.7894736842105263
PEP,Buy,0.6595744680851063
TMUS,Buy,1.0833333333333333
LIN,Buy,0.8780487804878049
AMAT,Buy,0.9833333333333333
PDD,Buy,1.4045801526717556
CSCO,Buy,0.5495495495495496
INTU,Buy,0.9902912621359223
TXN,Hold,0.3208955223880597
ARM,Buy,0.5737704918032787
AMGN,Hold,0.5
ISRG,Buy,0.96875
MU,Buy,1.1267605633802817
CMCSA,Buy,0.8870967741935484
LRCX,Buy,0.8440366972477065
HON,Buy,0.8469387755102041
INTC,Hold,0.22033898305084745
BKNG,Buy,0.6730769230769231
SNY,Buy,1.5294117647058822
VRTX,Buy,0.9090909090909091
KLAC,Buy,0.675
ADI,Buy,0.9565217391304348
REGN,Buy,0.8348623853211009
PANW,Buy,1.0451977401129944
ADP,Hold,0.08974358974358974
ABNB,Hold,0.304
CRWD,Buy,1.2649006622516556
SNPS,Buy,1.2333333333333334
MDLZ,Buy,1.1020408163265305
SBUX,Buy,0.7071428571428572
CDNS,Buy,0.8448275862068966
GILD,Buy,0.5409836065573771
MELI,Buy,0.8405797101449275
CTAS,Buy,0.6307692307692307
EQIX,Buy,1.0505050505050506
CME,Buy,0.6060606060606061
NXPI,Buy,0.6407766990291263
MAR,Hold,0.47572815533980584
CEG,Buy,0.7777777777777778
CSX,Buy,0.9074074074074074
MRVL,Buy,1.0333333333333334
PYPL,Buy,0.6521739130434783
NTES,Buy,1.2173913043478262
ORLY,Buy,0.8761904761904762
ROP,Buy,0.9333333333333333
WDAY,Buy,0.7569444444444444
COIN,Hold,0.42168674698795183
PCAR,Hold,0.38823529411764707
ADSK,Buy,0.9473684210526315
IBKR,Buy,0.8181818181818182
CPRT,Buy,0.8372093023255814
MCHP,Buy,0.9770114942528736
SMCI,Buy,0.8
TTD,Buy,0.9895833333333334
MNST,Buy,0.9204545454545454
ROST,Buy,1.0736842105263158
TEAM,Buy,0.9411764705882353
FTNT,Buy,0.5763888888888888
AEP,Hold,0.46153846153846156
MRNA,Hold,0.4857142857142857
KDP,Buy,0.6949152542372882
DXCM,Buy,1.3048780487804879
DASH,Buy,0.7623762376237624
DDOG,Buy,0.9176470588235294
CHTR,Hold,0.4909090909090909
PAYX,Hold,-0.05063291139240506
JD,Buy,1.0580645161290323
MPWR,Buy,1.0
ODFL,Hold,0.4605263157894737
IDXX,Buy,0.8260869565217391
VRSK,Buy,0.676056338028169
KHC,Buy,0.5529411764705883
LULU,Buy,0.8405797101449275
FANG,Buy,1.045045045045045
EA,Buy,0.9083333333333333
ACGL,Buy,0.8333333333333334
FAST,Hold,0.2537313432835821
GEHC,Buy,0.8125
EXC,Buy,0.6842105263157895
NDAQ,Buy,0.5303030303030303
BKR,Buy,1.0126582278481013
CTSH,Buy,0.5470085470085471
CCEP,Buy,1.0625
BIIB,Buy,0.8686131386861314
TCOM,Buy,1.2530120481927711
BIDU,Buy,1.0851063829787233
ALNY,Buy,0.8210526315789474
ON,Buy,0.7610619469026548
CSGP,Buy,1.2549019607843137
ZS,Buy,0.9661016949152542
CDW,Buy,0.96
XEL,Buy,0.5483870967741935
APP,Buy,1.024390243902439
ANSS,Hold,0.21875
TSCO,Buy,0.5901639344262295
GFS,Buy,0.8125
TTWO,Buy,1.0495049504950495
NTAP,Hold,0.4
WTW,Buy,0.5652173913043478
RYAAY,Buy,1.1538461538461537
EBAY,Hold,0.375
ICLR,Buy,1.0952380952380953
ARGX,Buy,1.1917808219178083
TROW,Hold,-0.09433962264150944
KSPI,Buy,1.0
WDC,Buy,0.8584905660377359
FITB,Buy,0.5816326530612245
FCNCA,Buy,0.7916666666666666
FSLR,Buy,0.8878504672897196
TER,Buy,0.6307692307692307
